,user,time,tweet_text,lat,long,location,hashtags
1447,ThatDianna416,Tue Nov 10 05:25:29 +0000 2020,Binaaswi (Francis Pegahmagabow) made the short list for the next $5 bank note. See all eight #bankNOTEable candidates:  https://t.co/ylENTFT9dC,,,"Toronto, Canada","[{'text': 'bankNOTEable', 'indices': [93, 106]}]"
1448,REAL_JOBS_YTO,Tue Nov 10 05:24:51 +0000 2020,"RT @VaughanChamber: JOB POSTING: @ashish_cpa is seeking to fill an Account Technician position.

Find out more on our Job Bank - https://t.…",,,"Toronto, Ontario",[]
1449,DanKorzon,Tue Nov 10 04:52:36 +0000 2020,"Who says...who says you're not perfect🎶 

Bitch its my fucking mirror 
My bank account 
My social media account 
My parents' look of dissaproval 

...who says?🎵",,,"Vaughan, Ontario",[]
1450,GauravY11,Tue Nov 10 04:48:56 +0000 2020,"@ckumar253 @ani_bhogi @nto1927 Dynamics have changed in last fifteen years. Many Y leaders have left RJD along with their vote bank. M voters are still with Congress.
Primarliry those who were looking for change and anti-incumbancy of Nitish has given an impetus to Tejashwi's votes.",,,"Toronto, Ontario",[]
1451,AdilA89405653,Tue Nov 10 04:47:37 +0000 2020,Bank of Canada unveils shortlist of names under consideration for new $5 bill https://t.co/DwWZGGqG9h,,,"Toronto, Ontario",[]
1452,Vasdex,Tue Nov 10 04:31:22 +0000 2020,@SkhayR6 My bank account hurts that count?,,,"Kitchener, Ontario",[]
1453,4QueenAlyssa,Tue Nov 10 04:26:28 +0000 2020,"RT @SeductressSav: The hottest drains are the ones that have to end because your bank cock-blocks. 

Thats how you know your wallet was nic…",,,,[]
1454,PaulGHudson,Tue Nov 10 04:22:12 +0000 2020,"RT @TeriCurrie_TD: Today, @TD_Canada announced the next phase in our ambitious Climate Action Plan. We have set a target to achieve net-zer…",,,"Langley, BC, Canada",[]
1455,RitaOHandley,Tue Nov 10 04:21:27 +0000 2020,"@GOP William Barr is calling any lawyer to start investigating for 2020 Elections Fraud

DON'T DO IT. Trump's history, BEGS FOR HELP, THEN BURNS YOU IF YOU DON'T GET DIRT &amp; HE DOESN'T PAY. REMEMBER, DEUTSCHE BANK WANT THE 400M PAID IMMEDIATELY &amp; # OF OTHER DEBTS ONCE HE'S GONE",,,"Toronto, Ontario",[]
1456,RitaOHandley,Tue Nov 10 04:20:22 +0000 2020,"@realDonaldTrump William Barr is calling on all lawyers to start investigating for 2020 Elections Fraud.  

DON'T DO IT.  Trump's history, BEGS FOR HELP, THEN BURNS YOU IF YOU DON'T GET DIRT &amp; HE DOESN'T PAY. REMEMBER, DEUTSCHE BANK WANT THE 400M PAID IMMEDIATELY &amp; # OF OTHER DEBTS ONCE HE'S GONE",,,"Toronto, Ontario",[]
1457,RitaOHandley,Tue Nov 10 04:19:58 +0000 2020,"William Barr is calling on all lawyers to start investigating for 2020 Elections Fraud.  

DON'T DO IT.  Trump's history, BEGS FOR HELP, THEN BURNS YOU IF YOU DON'T GET DIRT &amp; HE DOESN'T PAY. REMEMBER, DEUTSCHE BANK WANT THE 400M PAID IMMEDIATELY &amp; # OF OTHER DEBTS ONCE HE'S GONE",,,"Toronto, Ontario",[]
1458,notsavsslut,Tue Nov 10 04:14:09 +0000 2020,"RT @SeductressSav: The hottest drains are the ones that have to end because your bank cock-blocks. 

Thats how you know your wallet was nic…",,,,[]
1459,SeductressSav,Tue Nov 10 04:14:01 +0000 2020,"The hottest drains are the ones that have to end because your bank cock-blocks. 

Thats how you know your wallet was nicely fucked.",,,Toronto ,[]
1460,binfe,Tue Nov 10 04:06:53 +0000 2020,"@SRBNOVOSTI @cnni Ivanka’s Trademark Requests Were Fast-Tracked In China After Trump Was Elected. Trump was found to have a bank account in China and paid taxes there. Trump clothing, mugs, hats also made in China 2016",,,"Mississauga, Ontario",[]
1461,mikeszeller,Tue Nov 10 03:57:31 +0000 2020,@JonnyUt83346491 @CTVNews Back rent on the land on which you live?  Bank finance? Where do any investors get large amounts of money.,,,Guelph,[]
1462,OjimaOcheje,Tue Nov 10 03:55:45 +0000 2020,"@BLCKWHTNUD That white corset top is what I have my eye on. So it this Sunday on their website. But Omo, there is Farai London, Kai Collective, House of CB &amp; many other brands we shop at (&amp; they ain’t cheap). My bank account is shaking and saying “Another one again?! Rest sis” 😂😂😂",,,"Mississauga, Ontario",[]
1463,EPCMRecruiter,Tue Nov 10 03:48:03 +0000 2020,"@LeafandThistle @MariaK46861456 ""once again""

Pretty sure it was only ever a National Holiday for Federal Employees, Bank Employees and Teachers &amp; School Children and not a Statutory Holiday",,,"Toronto, Canada",[]
1464,BryanWilley,Tue Nov 10 03:45:02 +0000 2020,"When you owe a bank $500,000 and you can't pay you have a problem. If you owe a bank 500 Million and you can't pay, the bank has a problem. https://t.co/uxpqIhHNMu",,,Kitchener/Waterloo,[]
1465,saminkhan1,Tue Nov 10 03:36:57 +0000 2020,when that quarterly 50c dividends hits your bank account 💰 💰 https://t.co/PnxlNKYdCD,,,toronto,[]
1466,kurpita,Tue Nov 10 03:31:37 +0000 2020,"@kylenabecker Can some explain this? 
Counting gives Biden the election.
But the same counting doesn't deliver the Senate to the Dems, even loses seats in t'House.
If you're going to cheat, why not cheat all the way?
It's like a bank robber robbing a bank, then filing a tax return on the loot.",,,Toronto,[]
1467,ahga6ix1,Tue Nov 10 03:26:54 +0000 2020,@fakeluvmark They are consistently emptying your bank account 😢,,,"Toronto, Ontario",[]
1468,PointAccumulat1,Tue Nov 10 03:26:11 +0000 2020,@slide why can't we download the app in Canada? There are so many Canadians having US cards &amp; bank accounts. Why such restrictions?!!,,,"Toronto, Ontario",[]
1469,simsimmaaz,Tue Nov 10 03:17:15 +0000 2020,"First Indigenous person on a Bank note? Lit af

And we already have a Black Woman on the $10.

WE WANT MOREEEE",,,TORONTO,[]
1470,annaccalderon,Tue Nov 10 03:13:39 +0000 2020,"@snesareva @AKurmanaev ~ 70% of Peruvians work informally and don’t have access to a bank account. In spite of the strict measures, people had to leave their homes to survive. Neg covid tests bought by people to go out and work. Markets becoming hubs. Govt not reaching the vpoor. Etc.",,,"Toronto, Ontario",[]
1471,choc_cee,Tue Nov 10 03:10:35 +0000 2020,RT @TundeTASH: Kill protesters. Detain protesters. Block Bank Accounts. Seize Passports. Threaten Protesters. Intimidate Protesters. Gaslig…,,,#EndSARS ,[]
1472,FreeTown30,Tue Nov 10 03:08:47 +0000 2020,@miarules I know cause they burned a hole in my bank account,,,TORONTO,[]
1473,souljahsingh,Tue Nov 10 03:04:23 +0000 2020,Mr. Money in the Bank the Miz!!! #WWERAW,,,"Toronto, Ontario, Canada","[{'text': 'WWERAW', 'indices': [33, 40]}]"
1474,dan_digiacomo,Tue Nov 10 02:53:55 +0000 2020,It’s very dangerous for my bank account that I have access to put in bets from my phone now 😭😭😭,,,"Buffalo, NY",[]
1475,cory_randell,Tue Nov 10 02:53:48 +0000 2020,Binaaswi (Francis Pegahmagabow) made the short list for the next $5 bank note. See all eight #bankNOTEable candidates:  https://t.co/XMKbIHKMEH,,,"East Gwillimbury, Ontario","[{'text': 'bankNOTEable', 'indices': [93, 106]}]"
1476,KISS985BUFFALO,Tue Nov 10 02:48:02 +0000 2020,"Hey #BillsMafia, @MandT_Bank is looking for the biggest Bills fans. Tweet your favorite fan moment like a video OF ONLY YOU telling us why you’re the biggest Bills fan, @WGR550 &amp; use #CommunityOfBillsFans for your chance to win $50 to The Bills Team Store https://t.co/lkVl8j8xQA https://t.co/cn5MnH7C2V",,,"Buffalo, NY","[{'text': 'BillsMafia', 'indices': [4, 15]}, {'text': 'CommunityOfBillsFans', 'indices': [187, 208]}]"
1477,rofasanten,Tue Nov 10 02:43:00 +0000 2020,"RT @BayoAdedosu: I  went to my bank to do a Forex transaction....after vetting funds in the account and processing it, I was asked to take…",,,Nigeria,[]
1478,taurwixs,Tue Nov 10 02:35:34 +0000 2020,@ajlam87 I’m feeling a bank robbery. Pay off our osap😍,,,toronto ,[]
1479,hunterbangla,Tue Nov 10 02:33:13 +0000 2020,"RT @TarekFatah: Security guard at a Pakistani bank kills the bank's manager, accusing him of #blasphemy after a heated argument. 

Crowds t…",,,,"[{'text': 'blasphemy', 'indices': [93, 103]}]"
1480,JaimeBCBA,Tue Nov 10 02:28:00 +0000 2020,@hearditfromme2 @LouisBusch @OntarioPCParty @fordnation @CPC_HQ @erinotoole So you got $100 in your bank acct now?,,,"Toronto, Ontario",[]
1481,terraloire,Tue Nov 10 02:25:03 +0000 2020,"RT @SuzeMorrison: Renters in #Torcen live with constant instability and risk. 

Folks should be able to rent without the threat of eviction…",,,,"[{'text': 'Torcen', 'indices': [29, 36]}]"
1482,cruuk,Tue Nov 10 02:19:58 +0000 2020,@thejelanireid For my bank account’s sake let’s not talk about it,,,"Toronto, Ontario",[]
1483,Buns_and_Guns,Tue Nov 10 02:18:34 +0000 2020,@ThatCelticKid $200?! Bro I got like $50 in the bank after I pay all my necessities,,,"Toronto, Canada",[]
1484,toddmargo,Tue Nov 10 02:05:12 +0000 2020,RT @jasonrosso: @Roshan_Rinaldi @Tazerface16 It’s been a hard four years for all of us. Mind you I don’t I don’t do snow bank sized mountai…,,,,[]
1485,TheJasperLam,Tue Nov 10 02:01:15 +0000 2020,"RT @TeriCurrie_TD: Today, @TD_Canada announced the next phase in our ambitious Climate Action Plan. We have set a target to achieve net-zer…",,,Toronto,[]
1486,tommybuffometal,Tue Nov 10 01:59:39 +0000 2020,@InfamousSmirker That’s incredible ! I used to be with a credit Union ages ago . I switched to this bank branch moms at so as to be able to do her banking for as she’s elderly . Good advice but she wouldn’t switch that would screw her up . Totally vile though 🤔,,,buffalo ny ,[]
1487,joyeuxvestal,Tue Nov 10 01:57:21 +0000 2020,"@SwagBisaya19 @navyforsb19 @SB19Official @MTV My first cellphone nabili ko when I got my first job at a bank.

REQUEST @SB19Official @MTV #FridayLivestream

#Happy8MAlab #SB19
https://t.co/BSl6SgXOLR",,,"Markham, ON, Canada","[{'text': 'FridayLivestream', 'indices': [138, 155]}, {'text': 'Happy8MAlab', 'indices': [157, 169]}, {'text': 'SB19', 'indices': [170, 175]}]"
1488,HappyHijabbi,Tue Nov 10 01:52:04 +0000 2020,"Next up on WTH news, we'll talk about how often my kid wants to drain my bank account.",,,"Buffalo, NY",[]
1489,quorvids,Tue Nov 10 01:50:59 +0000 2020,"@Obelysk55 OHH I was referring to the genuine process of “putting the question” in a vote for a motion or w/e but using it as a joke abt Seb getting a cat, but I also didn’t know that so I’m definitely adding that to the memory bank tbh",,,"Toronto, Ontario",[]
1490,stocksharks_,Tue Nov 10 01:47:08 +0000 2020,Royal Bank of Canada is starting a global private capital group to take advantage of the growth in transactions involving private placements and special purpose acquisition companies. https://t.co/ODVwUMPHib,,,"Toronto, Ontario",[]
1491,Tazerface16,Tue Nov 10 01:43:54 +0000 2020,RT @jasonrosso: @Roshan_Rinaldi @Tazerface16 It’s been a hard four years for all of us. Mind you I don’t I don’t do snow bank sized mountai…,,,"Portland, OR",[]
1492,jasonrosso,Tue Nov 10 01:43:18 +0000 2020,@Roshan_Rinaldi @Tazerface16 It’s been a hard four years for all of us. Mind you I don’t I don’t do snow bank sized mountains of coke every night.,,,"Toronto, Ontario",[]
1493,SimplyLindaBlog,Tue Nov 10 01:39:09 +0000 2020,Bank of Canada unveils shortlist of names under consideration for new $5 bill https://t.co/nZNea96cu0,,,"Toronto, ON Canada",[]
1494,bran_recp,Tue Nov 10 01:37:49 +0000 2020,Looks like a piggy 🐷 bank huh https://t.co/f0gpKwBJ0s,,,"Toronto, Ontario",[]
1495,RealChrisDube,Tue Nov 10 01:37:36 +0000 2020,RT @TorontoPast: Toronto Past and Present: Jane St!  We will start and Bloor and head north up Jane to look at the history as far back as a…,,,"Toronto, Ontario",[]
1496,TorontoPast,Tue Nov 10 01:37:17 +0000 2020,"Toronto Past and Present: Jane St!  We will start and Bloor and head north up Jane to look at the history as far back as a few hundred years ! Let's take a look at Jane &amp; Bloor 1943 vs 2019. N/E corner when it was the Bank of Toronto, now TD Bank ( Toronto Archives) #toronto https://t.co/48R4yTGoIR",,,"Toronto, Ontario","[{'text': 'toronto', 'indices': [271, 279]}]"
1497,johnath,Tue Nov 10 01:28:40 +0000 2020,"RT @AverySwartz: And for those that are interested in sponsoring events with values, community, and heart - sign up with your email address…",,,Hand Crafted in Toronto,[]
1498,RRidley11,Tue Nov 10 01:27:11 +0000 2020,"@LofCorrie @ChrisCdnPatriot @mfdjanderson1 Their Imams said this met their religious requirements! No Cdn charter bank was interested as the market, Muslims, was too small. Third party financiers took some on! That was the entirety of Solomon’s involvement with Sharia financing!",,,"Toronto, Ontario",[]
1499,InnovationPoli1,Tue Nov 10 01:25:57 +0000 2020,"RT @PubPolicy_Munk: Join us on Thursday, Nov 12 to hear the Bank of Canada's Senior Deputy Governor in conversation with @shaunabrail about…",,,,[]
1500,MarionGirardMa1,Tue Nov 10 01:22:08 +0000 2020,So today once again I lost my bank card. Can't make the payment for my phone. Because of some other problem...,,,"Toronto, Ontario",[]
1501,Leadp8nt,Tue Nov 10 01:15:15 +0000 2020,RT @KNeddie: She wanted to appease the authorities and the bank executives.  Even saying the truth to herself made her want to call the pol…,,,,[]
1502,Leadp8nt,Tue Nov 10 01:15:11 +0000 2020,"RT @KNeddie: She would be happy to die a little sooner. 

Her bank earlier watched in horror as she asked for the million dollars in cash.…",,,,[]
1503,PW_Junkies,Tue Nov 10 01:11:08 +0000 2020,Name your favorite Money in Bank Cash in? #WrestlingCommunity #prowrestling #WWERaw #MoneyinTheBenk,,,"Toronto, Ontario","[{'text': 'WrestlingCommunity', 'indices': [42, 61]}, {'text': 'prowrestling', 'indices': [62, 75]}, {'text': 'WWERaw', 'indices': [76, 83]}, {'text': 'MoneyinTheBenk', 'indices': [84, 99]}]"
1504,_jpow,Tue Nov 10 01:10:57 +0000 2020,"@AliasSocrates @melly_cann @_ChelseaHolic @DonaldJTrumpJr The Trump Taj Mahal casino broke anti-money laundering rules 106 times in its first year and a half of operation in the early 1990s.” In 1998, the Taj Mahal paid “the largest fine the federal government ever slapped on a casino for violating the Bank Secrecy Act.",,,Toronto,[]
1505,maplethistles,Tue Nov 10 01:02:31 +0000 2020,@astridrosemarin I'm so happy but my bank account will not be 💸💸💸,,,"Toronto, Ontario",[]
1506,elsaasce,Tue Nov 10 01:00:39 +0000 2020,"Honestly the lawyer title bought me some social capital but that means nothing to my bank when they ask for $1000+ a month from me. And what good does it mean when I’m limited with what I can do because of my debt?

Save your money or find a rich patron",,,"Toronto, Ontario",[]
1507,JesseYules,Tue Nov 10 00:59:34 +0000 2020,@NPRinskeep @hendrixdotcom He's trying to solicit donations because Deutsche Bank is going to force him to pay back his 350M dollar debt in a few weeks.,,,Toronto,[]
1508,JoanneCangal,Tue Nov 10 00:56:46 +0000 2020,RT @AlexWellstead: This investment is on top of the recent $600-million agreement with @Telesat for satellite capacity to improve broadband…,,,Toronto,[]
1509,SuzeMorrison,Tue Nov 10 00:54:39 +0000 2020,"Renters in #Torcen live with constant instability and risk. 

Folks should be able to rent without the threat of eviction or bank-breaking rent hikes.

The @OntarioNDP has a housing plan that puts people ahead of bad apple landlords. https://t.co/ILHt0bLSma",,,"Toronto, Ontario","[{'text': 'Torcen', 'indices': [11, 18]}]"
1510,CanadianGL1979,Tue Nov 10 00:49:28 +0000 2020,"@DonaldJTrumpJr Don't worry they'll investigate her, and her bank account,  looking for the inevitable windfall that appeared from someone. We all know how Trumps cheat",,,"Etobicoke,Ontario",[]
1511,Triggaworks,Tue Nov 10 00:43:33 +0000 2020,@kwesi_lavish 😂😂 Remembrance Day is a bank &amp; government holiday,,,Toronto,[]
1512,OsaweAme,Tue Nov 10 00:43:18 +0000 2020,Nigeria allows Dangote to export cement with the borders officially closed. CBN block #ENDSSARS bank accounts but unable (unwilling?) to block Book's account. Do you see the same old record playing? @ENDSARSNOW,,,"Georgetown, Ontario, Canada ","[{'text': 'ENDSSARS', 'indices': [86, 95]}]"
1513,flambydelrabies,Tue Nov 10 00:31:49 +0000 2020,Very cool and fun that my student loan payments started coming out again unexpectedly this month and put my bank account into the negatives... Anybunny want to throw a couple bucks my way for some art or a fic,,,"Toronto, Ontario",[]
1514,Quinn1453,Tue Nov 10 00:28:15 +0000 2020,I’ve been off my meds for a while. Like beginning of summer. I’ve been doing so well but I’m starting to feel myself slipping and I need to get back on them. The problem is my bank account is at $5 and they cost $178 and health insurance doesn’t cover it.,,,"Lockport, NY",[]
1515,ogeorge1,Tue Nov 10 00:28:08 +0000 2020,"When I was 40 I bought a house in Toronto for $40,000. Now I’m 88 and I owe the bank $500,000. . But my house is worth $1,000,000. Am I fiscally responsible? I didn’t do anything to make my house worth that much. With the power of government who do you think will be the winner?",,,"Toronto, Ontario, Canada",[]
1516,toomuchdebt,Tue Nov 10 00:28:08 +0000 2020,CANADA CONSUMER PROPOSAL:  SHOULD I IMMEDIATELY OPEN A HAPPY NEW BANK ACCOUNT https://t.co/LVgwzVxWXz via @toomuchdebt,,,"Toronto, Canada",[]
1517,_jpow,Tue Nov 10 00:22:51 +0000 2020,@AliasSocrates @melly_cann @_ChelseaHolic @DonaldJTrumpJr Tax fraud. Bribery. Bank fraud. Insurance fraud. Laundering. Sexual assault.,,,Toronto,[]
1518,cmancuso9797,Tue Nov 10 00:22:32 +0000 2020,Bill Barr is trying to cash in the money in the bank briefcase lol https://t.co/sS5is4w3ql,,,"Niagara, Ontario",[]
1519,johnndavis,Tue Nov 10 00:10:34 +0000 2020,"20201109: CBC: Bank of Canada unveils shortlist of names under consideration for new $5 bill [""Canada will have new $5 bill soon, and it'll bear the likeness of a prominent historic Canadian"" https://t.co/EMJT24bH1N",,,Toronto,[]
1520,Krazie_Kanuck,Tue Nov 10 00:03:13 +0000 2020,@RikerGoogling STOP TWEETING MY BANK CODES!!! https://t.co/pq13yp0Ci2,,,"Toronto, Ontario",[]
1521,toomuchdebt,Tue Nov 10 00:02:22 +0000 2020,CANADA CONSUMER PROPOSAL: SHOULD I IMMEDIATELY OPEN A HAPPY NEW BANK ACCOUNT https://t.co/LVgwzVxWXz,,,"Toronto, Canada",[]
1522,RickCampbell4,Mon Nov 09 23:56:04 +0000 2020,"@HRHAnandRajaram I’m skeptical. Who? China? He has a Chinese fucking bank account. His daughter has like ten patents there. Russia? He wants a Trump Tower in Moscow. North Korea? Ditto. His whole thing is avoid war, make money. Maybe Canada? And even if he does, he’s gone on Jan. 20 regardless.",,,"Toronto, Canada",[]
1523,MYRENREN,Mon Nov 09 23:53:35 +0000 2020,Getting bank pain for buying shitsss.. gotta slow down!🥴,,,toronto,[]
1524,Mino942112,Mon Nov 09 23:51:20 +0000 2020,"#Rothschild family or #RedShield wants #BidenHarris2020 and 
@realDonaldTrump
 is fighting against the federal reserve. Similar to #AndrewJackson 7th president. This is a ""Bank War"" and it will end bad #politics #USElection2020 are all illusion and distractions. #FedBank #Slavery",,,"Toronto, Ontario","[{'text': 'Rothschild', 'indices': [0, 11]}, {'text': 'RedShield', 'indices': [22, 32]}, {'text': 'BidenHarris2020', 'indices': [39, 55]}, {'text': 'AndrewJackson', 'indices': [131, 145]}, {'text': 'politics', 'indices': [202, 211]}, {'text': 'USElection2020', 'indices': [212, 227]}, {'text': 'FedBank', 'indices': [263, 271]}, {'text': 'Slavery', 'indices': [272, 280]}]"
1525,lsedd,Mon Nov 09 23:48:12 +0000 2020,"@TheTorontoSun So I guess our hopes for the gyms opening is fading fast. Soon too cold for outdoor dining, restaurants will be going belly up, fast, as their owners lose their businesses, bank accounts, houses and cars.",,,Toronto Ontario,[]
1526,dossals,Mon Nov 09 23:47:46 +0000 2020,RT @CPBCinfo: @CPBCinfo  is pleased to support and partner with @Ladiesfund to empower women. Plz share with Pakistani Women Entrepreneurs…,,,Canada,[]
1527,CPBCinfo,Mon Nov 09 23:46:24 +0000 2020,"@CPBCinfo  is pleased to support and partner with @Ladiesfund to empower women. Plz share with Pakistani Women Entrepreneurs to apply for the financial support being offered by State Bank and Government of Pakistan. 
Please register at:
https://t.co/s6fiSn9VU6 https://t.co/s1J4kKJe2v",,,"Toronto, Ontario",[]
1528,mickeybrocks,Mon Nov 09 23:45:05 +0000 2020,"@realDonaldTrump Trumps just dragging this out so he can raise $, pay off campaign debt and skim off the top. Take it to the bank",,,"Buffalo, NY",[]
1529,HolisticZombie,Mon Nov 09 23:44:07 +0000 2020,@NickHames1 @TheoMoudakis @TorontoStar Don't bank on it!,,,"Toronto, Canada ",[]
1530,ChrisAllenHess,Mon Nov 09 23:41:48 +0000 2020,"@MojangSupport Your payment system doesn't work. Been trying to buy Minecraft Java for my gf for 3 hours. I've had 3 credit cards all declined, have verified with the bank that they're not blocking it, have cleared all cache, tried with a vpn and a pre-paid card. Nothing works.",,,"Toronto, Ontario",[]
1531,laTerrifique,Mon Nov 09 23:41:27 +0000 2020,RT @TundeTASH: Kill protesters. Detain protesters. Block Bank Accounts. Seize Passports. Threaten Protesters. Intimidate Protesters. Gaslig…,,,In Front of You,[]
1532,rlclyke,Mon Nov 09 23:40:54 +0000 2020,"""Canadians put forward the names of hundreds of people who have changed Canada for the better...I look forward to seeing which of these eight remarkable individuals will be featured on our next $5 bank note.""

BoC unveils names being considered for $5 bill https://t.co/YL5Ic0fhHg",,,"Toronto, Canada",[]
1533,EzraHwang,Mon Nov 09 23:37:27 +0000 2020,"RT @Climatepledgeco: .@scotiabank is also pouring billions into fossil fuels.  

Seem repetitive?  ALL of the big CDN banks are climate cri…",,,,[]
1534,stustin,Mon Nov 09 23:34:52 +0000 2020,RT @RadioFreeTony: This.  Mike Harris and a few ex-Ford aides are making bank from Ford-profit LTCare business.  Who cares if your loved on…,,,"Toronto, Ontario",[]
1535,AverySwartz,Mon Nov 09 23:32:18 +0000 2020,"And for those that are interested in sponsoring events with values, community, and heart - sign up with your email address. If I only had $5 left in my company’s bank account, I would use it to sponsor this crew.",,,Toronto,[]
1536,Astro_yyz,Mon Nov 09 23:21:45 +0000 2020,"@terry_tjb Pre pandemic, at the observatory, we would have snow beer (beer to cool in a random snow bank) near the bbq because reasons....",,,"Toronto, Ontario",[]
1537,ApanpaOlasumbo,Mon Nov 09 23:17:29 +0000 2020,"RT @BayoAdedosu: I  went to my bank to do a Forex transaction....after vetting funds in the account and processing it, I was asked to take…",,,Lagos,[]
1538,ImmortalOne76,Mon Nov 09 23:15:06 +0000 2020,RT @KNeddie: She wanted to appease the authorities and the bank executives.  Even saying the truth to herself made her want to call the pol…,,,,[]
1539,ImmortalOne76,Mon Nov 09 23:14:51 +0000 2020,"RT @KNeddie: She would be happy to die a little sooner. 

Her bank earlier watched in horror as she asked for the million dollars in cash.…",,,,[]
1540,johnndavis,Mon Nov 09 23:14:20 +0000 2020,"20201109: Kevin Orland, Bloomberg: TD swears off oil and gas deals in Arctic Circle and sets net-zero goal for 2050 [""Bank unveils global climate action plan"" https://t.co/Zn7JScHKRm",,,Toronto,[]
1541,LukesPotShop,Mon Nov 09 23:07:38 +0000 2020,RT @nowtoronto: One of Toronto’s most popular Instagram accounts has handed over its handle. https://t.co/p0AVigalej,,,,[]
1542,nowtoronto,Mon Nov 09 23:05:03 +0000 2020,One of Toronto’s most popular Instagram accounts has handed over its handle. https://t.co/p0AVigalej,,,"Toronto, Ontario",[]
1543,4LattesandaMule,Mon Nov 09 23:02:48 +0000 2020,99% of payroll problems can be solved by looking at your bank account to see if you got paid.,,,"Hamilton, Ontario",[]
1544,ronaldbaker,Mon Nov 09 23:01:16 +0000 2020,"RT @Cdn_Accountant: Ron Baker is back with ""Value-Based Pricing 2.0,"" a free webinar on November 12th at 2pm ET! ""The better your firm comp…",,,Northern California,[]
1545,Darylomg,Mon Nov 09 22:59:08 +0000 2020,"@markpoloncarz And while he collects his big 150 K salary or more, those of us who work in retail and hospitality food and beverage will be out of a job while he gloats and counts And checks his bank account",,,"Buffalo, NY",[]
1546,erinbitchardson,Mon Nov 09 22:57:49 +0000 2020,omg how cute would this be for a baby bank robber 😍🔫💰 https://t.co/DwI7XUbBSF,,,Toronto,[]
1547,kees_kaleido,Mon Nov 09 22:57:29 +0000 2020,@chellly_g That's what I first said. I've been working at a bank for 10 years now!😂🤣🤦🏾‍♀️,,,"Toronto, Ontario",[]
1548,divyabalji,Mon Nov 09 22:54:27 +0000 2020,RT @kevinorland: Toronto-Dominion Bank’s new climate plan includes rejecting work on Arctic oil and gas projects and moving to net-zero emi…,,,,[]
1549,HoneymoonGondol,Mon Nov 09 22:53:21 +0000 2020,RT @VolunteerTO: Learn about the ways COVID-19 has changed the landscape of food banks and what it has meant to be a Food Bank volunteer du…,,,honeymoongondola@gmail.com,[]
1550,lion__heart01,Mon Nov 09 22:49:23 +0000 2020,"RT @winwitty: @GazetteNGR Nigerians: Why was the account not frozen?

Central bank: 

Honestly, we have criminals ruling us. The whole worl…",,,,[]
1551,_djdash91,Mon Nov 09 22:44:27 +0000 2020,@TazUndefeated @rgonz_27 @MarioGotSniped @Gcole6_ @Nibellion Yeah the problem with that logic is that sony made bank before with 60$ games now they want to make more money for no reason (greed,,,"Mississauga, Ontario",[]
1552,SherryBGood,Mon Nov 09 22:44:18 +0000 2020,'Now Do #TarSands': TD Bank Urged to Go Further on Climate After Nixing Arctic Projects - https://t.co/SxxVso9mst via @commondreams,,,Toronto,"[{'text': 'TarSands', 'indices': [8, 17]}]"
1553,Climatepledgeco,Mon Nov 09 22:43:26 +0000 2020,".@scotiabank is also pouring billions into fossil fuels.  

Seem repetitive?  ALL of the big CDN banks are climate criminals.

#Bankswitch will turn things around by making them compete on fossil fuel policy by sending thousands of clients to the cleanest bank.

#fossilbanks https://t.co/uV09OgMaxV",,,"Toronto, Ontario","[{'text': 'Bankswitch', 'indices': [127, 138]}, {'text': 'fossilbanks', 'indices': [263, 275]}]"
1554,VincentVampir85,Mon Nov 09 22:40:36 +0000 2020,RT @KNeddie: She wanted to appease the authorities and the bank executives.  Even saying the truth to herself made her want to call the pol…,,,,[]
1555,VincentVampir85,Mon Nov 09 22:40:30 +0000 2020,"RT @KNeddie: She would be happy to die a little sooner. 

Her bank earlier watched in horror as she asked for the million dollars in cash.…",,,,[]
1556,ZartanStCyr,Mon Nov 09 22:38:17 +0000 2020,RT @KNeddie: She wanted to appease the authorities and the bank executives.  Even saying the truth to herself made her want to call the pol…,,,,[]
1557,ZartanStCyr,Mon Nov 09 22:38:09 +0000 2020,"RT @KNeddie: She would be happy to die a little sooner. 

Her bank earlier watched in horror as she asked for the million dollars in cash.…",,,,[]
1558,TaraNWeber,Mon Nov 09 22:37:29 +0000 2020,RT @kevinorland: Toronto-Dominion Bank’s new climate plan includes rejecting work on Arctic oil and gas projects and moving to net-zero emi…,,,Calgary,[]
1559,Wonka4delites,Mon Nov 09 22:36:12 +0000 2020,RT @KNeddie: She wanted to appease the authorities and the bank executives.  Even saying the truth to herself made her want to call the pol…,,,,[]
1560,Wonka4delites,Mon Nov 09 22:36:07 +0000 2020,"RT @KNeddie: She would be happy to die a little sooner. 

Her bank earlier watched in horror as she asked for the million dollars in cash.…",,,,[]
1561,YouRangForMe,Mon Nov 09 22:29:15 +0000 2020,RT @KNeddie: She wanted to appease the authorities and the bank executives.  Even saying the truth to herself made her want to call the pol…,,,"Florida, USA",[]
1562,YouRangForMe,Mon Nov 09 22:28:59 +0000 2020,"RT @KNeddie: She would be happy to die a little sooner. 

Her bank earlier watched in horror as she asked for the million dollars in cash.…",,,"Florida, USA",[]
1563,McNeilColin,Mon Nov 09 22:26:10 +0000 2020,I think I wanna start using the M4A1-S. Can you guys recommend me a good skin that won't break the bank? 🤔,,,"Toronto, Ontario",[]
